family,n_queries,seed,n_f2f_fewer_exp,n_f2e_fewer_exp,n_exp_tie,median_expansion_diff,median_of_query_median_diff,mean_of_query_median_diff,pooled_n,pooled_frac_f2f_stronger,pooled_frac_equal,pooled_frac_f2e_stronger,spearman_untied_median_diff_vs_expansion_diff,spearman_untied_frac_f2f_stronger_vs_expansion_diff,n_untied
open_128,30,100,0,0,30,0.0,0.0,0.0,18628,0.0,1.0,0.0,,,0
maze_127,30,140,22,0,8,371.0,18.25,29.55,574568,0.6752064159507665,0.32479358404923353,0.0,0.21228001650135908,0.22642574816487862,22
maze_255,30,150,26,0,4,983.5,123.5,109.76666666666667,3842544,0.8962588326900095,0.10374116730999046,0.0,0.12961697064443412,0.12273504273504272,26
maze_127_braid,30,140,12,0,18,0.0,0.0,0.4,52439,0.27006617212380096,0.729933827876199,0.0,0.6276459144608478,0.6223776223776225,12
nested_64_d30,30,110,13,0,17,0.0,0.0,0.9333333333333333,61079,0.5933299497372255,0.4066700502627744,0.0,0.8557599653217298,0.8076923076923077,13
nested_64_d45,30,210,14,1,15,0.0,0.0,1.9333333333333333,18561,0.5606378966650504,0.4393621033349496,0.0,0.38396589701992906,0.4107142857142856,15
